Date;Time;Sym 1 (?C);Asym 1 (?C);Sym 2 (?C);Asym 2 (?C);Sym 3 (?C);Asym 3 (?C);Sym 4 (?C);Asym 4 (?C);Sym 5 (?C);Asym 5 (?C);Sym 6 (?C);Asym 6 (?C);Sym 7 (?C);Asym 7 (?C);Sym 8 (?C);Asym 8 (?C);Temp 1 U (?C);Temp 1 L (?C);Temp 1 S (?C);Temp 2 U (?C);Temp 2 L (?C);Temp 2 S (?C);Temp 3 U (?C);Temp 3 L (?C);Temp 3 S (?C);Temp 4 U (?C);Temp 4 L (?C);Temp 4 S (?C);Temp 5 U (?C);Temp 5 L (?C);Temp 5 S (?C);Temp 6 U (?C);Temp 6 L (?C);Temp 6 S (?C);Temp 7 U (?C);Temp 7 L (?C);Temp 7 S (?C);Temp 8 U (?C);Temp 8 L (?C);Temp 8 S (?C);Heater  (V);Heater  (mA);Heater  (W/cm);Battery Voltage (V);Battery Temperature (?C);External Supply Voltage (V);External Supply Current (mA);Diagnostic Message
27.04.2022;00:00:00;0.524;1.86;0.481;1.42;0.321;1.176;0.156;1.016;0.093;0.95;0.034;0.871;0.017;0.862;0.005;0.857;27.096;26.572;28.432;27.241;26.759;28.18;27.28;26.959;28.136;27.341;27.185;28.202;27.456;27.362;28.313;27.519;27.485;28.357;27.568;27.551;28.414;27.548;27.543;28.401;7.6;62.295;0.043;4.149;31.3;24.75;31.8;NA
27.04.2022;00:15:00;0.526;1.859;0.477;1.414;0.309;1.171;0.149;1.014;0.089;0.948;0.029;0.868;0.012;0.862;0.002;0.856;27.081;26.555;28.414;27.214;26.737;28.151;27.246;26.936;28.107;27.307;27.157;28.172;27.426;27.337;28.285;27.49;27.46;28.328;27.54;27.528;28.391;27.521;27.518;28.375;7.6;62.295;0.043;4.149;30.9;24.75;32.099;NA
27.04.2022;00:30:00;0.507;1.859;0.467;1.419;0.311;1.172;0.146;1.012;0.088;0.95;0.03;0.871;0.011;0.862;0;0.857;27.026;26.518;28.377;27.174;26.706;28.126;27.216;26.905;28.077;27.278;27.131;28.144;27.396;27.307;28.257;27.462;27.431;28.302;27.512;27.501;28.363;27.494;27.494;28.351;7.6;62.295;0.043;4.148;30.8;24.79;32.4;NA
27.04.2022;00:45:00;0.491;1.853;0.451;1.409;0.294;1.171;0.144;1.014;0.083;0.947;0.027;0.873;0.009;0.864;0.003;0.856;26.964;26.473;28.326;27.121;26.67;28.08;27.169;26.874;28.046;27.243;27.099;28.113;27.364;27.281;28.228;27.431;27.404;28.277;27.483;27.474;28.338;27.468;27.465;28.322;7.6;62.295;0.043;4.113;30.7;24.82;32.099;NA
27.04.2022;01:00:00;0.491;1.84;0.45;1.41;0.291;1.17;0.139;1.01;0.08;0.95;0.025;0.871;0.006;0.861;-0.002;0.855;26.956;26.464;28.304;27.093;26.642;28.052;27.134;26.843;28.013;27.208;27.068;28.078;27.328;27.248;28.199;27.4;27.374;28.246;27.452;27.446;28.307;27.439;27.441;28.297;7.6;62.295;0.043;4.113;30.5;24.75;31.8;NA
27.04.2022;01:15:00;0.48;1.839;0.437;1.403;0.289;1.171;0.133;1.009;0.079;0.947;0.026;0.872;0.005;0.859;-0.001;0.86;26.925;26.445;28.284;27.062;26.624;28.028;27.105;26.815;27.986;27.169;27.036;28.045;27.295;27.216;28.164;27.367;27.34;28.213;27.422;27.416;28.276;27.407;27.409;28.269;7.6;62.295;0.043;4.113;30.5;24.75;31.8;NA
27.04.2022;01:30:00;0.457;1.838;0.416;1.401;0.27;1.162;0.13;1.012;0.078;0.945;0.022;0.868;0.004;0.856;-0.001;0.858;26.861;26.404;28.242;27.011;26.595;27.996;27.063;26.793;27.955;27.135;27.004;28.016;27.263;27.184;28.13;27.333;27.311;28.179;27.39;27.385;28.242;27.378;27.379;28.237;7.6;62.295;0.043;4.113;30.5;24.82;32.4;NA
27.04.2022;01:45:00;0.442;1.834;0.399;1.395;0.264;1.162;0.12;1.009;0.076;0.946;0.02;0.871;0.002;0.854;-0.004;0.853;26.817;26.374;28.209;26.965;26.565;27.96;27.021;26.757;27.92;27.095;26.975;27.985;27.228;27.151;28.098;27.298;27.278;28.149;27.358;27.355;28.21;27.345;27.35;28.204;7.6;62.295;0.043;4.113;30.5;24.78;32.099;NA
27.04.2022;02:00:00;0.436;1.842;0.392;1.394;0.255;1.158;0.121;1.012;0.072;0.949;0.017;0.874;0.004;0.86;-0.005;0.854;26.756;26.319;28.162;26.917;26.524;27.919;26.982;26.726;27.885;27.06;26.938;27.95;27.19;27.117;28.067;27.262;27.244;28.118;27.323;27.319;28.179;27.311;27.317;28.171;7.6;62.295;0.043;4.113;30.3;24.75;32.099;NA
27.04.2022;02:15:00;0.415;1.818;0.387;1.393;0.246;1.154;0.122;1.017;0.069;0.946;0.017;0.872;0;0.858;-0.008;0.857;26.722;26.306;28.125;26.877;26.489;27.882;26.937;26.69;27.845;27.021;26.899;27.916;27.151;27.082;28.029;27.228;27.21;28.083;27.286;27.287;28.145;27.274;27.283;28.14;7.6;62.295;0.043;4.102;30.4;24.72;32.4;NA
27.04.2022;02:30:00;0.406;1.826;0.374;1.389;0.244;1.156;0.113;1.011;0.065;0.948;0.011;0.87;0.002;0.857;-0.006;0.856;26.68;26.273;28.1;26.84;26.465;27.854;26.903;26.658;27.815;26.982;26.868;27.879;27.112;27.047;27.995;27.189;27.177;28.048;27.254;27.251;28.109;27.242;27.249;28.106;7.6;62.295;0.043;4.077;30.3;24.75;31.8;NA
27.04.2022;02:45:00;0.39;1.813;0.359;1.38;0.234;1.154;0.108;1.007;0.064;0.948;0.01;0.873;-0.004;0.857;-0.008;0.854;26.644;26.253;28.067;26.798;26.438;27.818;26.861;26.626;27.78;26.943;26.834;27.842;27.075;27.011;27.959;27.15;27.139;28.013;27.214;27.219;28.076;27.206;27.214;28.069;7.6;62.295;0.043;4.077;30.3;24.71;31.8;NA
27.04.2022;03:00:00;0.389;1.814;0.358;1.381;0.229;1.148;0.107;1.011;0.056;0.947;0.01;0.876;-0.002;0.858;-0.009;0.854;26.62;26.23;28.045;26.768;26.41;27.791;26.828;26.599;27.747;26.906;26.799;27.81;27.034;26.977;27.925;27.113;27.102;27.978;27.179;27.181;28.04;27.17;27.18;28.034;7.6;62.295;0.043;4.077;30.3;24.71;31.8;NA
27.04.2022;03:15:00;0.387;1.823;0.353;1.383;0.225;1.15;0.106;1.012;0.056;0.947;0.011;0.876;-0.005;0.852;-0.012;0.851;26.583;26.196;28.019;26.736;26.383;27.767;26.794;26.569;27.719;26.873;26.766;27.779;27;26.943;27.89;27.077;27.066;27.943;27.142;27.147;27.999;27.133;27.146;27.997;7.6;62.295;0.043;4.077;30.4;24.68;31.8;NA
27.04.2022;03:30:00;0.365;1.808;0.342;1.379;0.22;1.148;0.101;1.009;0.056;0.948;0.008;0.876;-0.002;0.859;-0.007;0.855;26.524;26.158;27.966;26.687;26.345;27.724;26.755;26.535;27.684;26.838;26.736;27.745;26.964;26.907;27.856;27.04;27.031;27.907;27.107;27.109;27.969;27.098;27.106;27.962;7.6;62.295;0.043;4.077;30;24.68;32.099;NA
